assigned gene	MIPS Description	p-value	p-value	p-value
YLR271W	weak similarity to hypothetical protein T04H1.5 C. elegans	3.20E-02	1.20E-01	5.60E-02
YLR272C	subunit of condensin protein complex	4.90E-01	5.70E-01	8.90E-01
YLR273C	putative type 1 phosphatase regulatory subunit	4.30E-01	2.30E-01	2.50E-01
YLR274W	cell division control protein	4.30E-01	2.30E-01	2.50E-01
YLR275W	U1 snRNP protein of the Sm class	2.80E-02	6.20E-01	3.70E-01
YLR276C	"similarity to YDL031w, MAK5P and RNA helicases"	4.00E-02	2.60E-01	4.30E-05
YLR277C	component of pre-mRNA polyadenylation factor PF I	6.10E-01	6.80E-01	6.60E-01
YLR278C	weak similarity to regulatory proteins	1.60E-01	1.40E-01	4.10E-01
YLR279W	questionable ORF	1.60E-01	1.40E-01	4.10E-01
YLR280C	questionable ORF	5.10E-01	6.90E-01	1.00E+00
YLR281C	similarity to polypeptide chain release factors	5.10E-01	6.90E-01	1.00E+00
YLR282C	questionable ORF	2.50E-01	3.20E-01	1.00E+00
YLR283W	weak similarity to SMC2P	5.10E-01	6.90E-01	1.00E+00
YLR284C	delta3-cis-delta2-trans-enoyl-CoA isomerase	2.90E-01	5.00E-01	2.70E-01
YLR285W	weak similarity to A.thaliana hypothetical protein	2.90E-01	5.00E-01	2.70E-01
YLR286C	endochitinase	4.30E-09	5.40E-01	1.60E-03
YLR287C	weak similarity to S.pombe hypothetical protein SPAC22E12	2.20E-01	2.60E-01	1.40E-01
YLR287C-A	40S small subunit ribosomal protein	1.80E-05	5.70E-01	3.40E-02
YLR288C	G2-specific checkpoint protein	1.40E-01	3.80E-01	2.80E-01
YLR289W	strong similarity to E. coli elongation factor-type GTP-binding protein lepa	1.40E-01	3.80E-01	2.80E-01
YLR290C	similarity to hypothetical protein SPCC1840.09 S. pombe	3.70E-01	6.00E-01	4.10E-01
YLR291C	"translation initiation factor eIF2b, 43 kDa subunit"	3.40E-01	8.80E-01	2.40E-01
YLR292C	ER protein-translocation complex subunit	6.40E-01	7.40E-01	4.00E-01
YLR293C	GTP-binding protein of the ras superfamily	8.00E-01	3.70E-01	5.00E-01
YLR294C	questionable ORF	8.10E-01	3.20E-01	1.90E-01
YLR295C	"F1F0-ATPase complex, subunit h"	8.10E-01	3.20E-01	1.90E-01
YLR296W	hypothetical protein	8.10E-01	3.20E-01	1.90E-01
YLR297W	weak similarity to Vibrio vulnificus VvpC protein	6.50E-01	3.70E-02	4.50E-01
YLR298C	associated with the U1 snRNP complex	8.50E-01	2.20E-01	6.80E-01
YLR299W	"gamma-glutamyltransferase, involved in glutathione synthesis"	8.50E-01	2.20E-01	6.80E-01
YLR300W	"exo-beta-1,3-glucanase (I/II), major isoform"	6.50E-02	2.20E-06	1.40E-02
YLR301W	hypothetical protein	5.90E-01	2.80E-01	3.60E-01
YLR302C	questionable ORF	2.80E-01	4.00E-01	3.60E-01
YLR303W	O-acetylhomoserine sulfhydrylase	7.70E-01	5.50E-01	1.00E+00
YLR304C	aconitate hydratase	4.70E-01	6.70E-02	9.70E-01
YLR305C	phosphatidylinositol-4-kinase	3.10E-01	3.50E-01	2.70E-01
YLR306W	E2 ubiquitin-conjugating enzyme	3.10E-01	3.50E-01	2.70E-01
YLR307W	sporulation-specific chitin deacetylase	4.00E-01	2.20E-01	9.70E-01
YLR308W	sporulation-specific chitin deacetylase	2.50E-01	8.80E-01	2.50E-01
YLR309C	involved in vesicular transport	2.50E-01	6.50E-01	3.30E-01
YLR310C	GDP/GTP exchange factor for RAS1P and RAS2P	4.80E-01	1.00E+00	5.20E-01
YLR311C	weak similarity to S.tarentolae cryptogene protein G4	6.20E-01	1.30E-01	8.10E-01
YLR312C	hypothetical protein	6.20E-01	1.30E-01	8.10E-01
YLR312W-A	"ribosomal protein of the large subunit, mitochondrial"	6.20E-01	1.30E-01	8.10E-01
YLR313C	required for bipolar bud site selection	1.00E+00	3.70E-01	6.70E-01
YLR314C	cell division control protein	3.20E-01	4.90E-01	5.80E-01
YLR315W	weak similarity to rat apolipoprotein A-IV	3.20E-01	4.90E-01	5.80E-01
YLR316C	subunit of tRNA-specific adenosine-34 deaminase	3.80E-01	5.00E-01	4.70E-01
YLR317W	questionable ORF	3.20E-01	4.90E-01	5.80E-01
YLR318W	catalytic subunit of the telomerase	3.80E-01	5.00E-01	4.70E-01
YLR319C	bud site selection protein	2.30E-01	3.30E-01	2.90E-01
YLR320W	hypothetical protein	2.30E-01	3.30E-01	2.90E-01
YLR321C	subunit of the RSC complex	1.50E-01	4.00E-01	4.40E-01
YLR322W	questionable ORF	5.50E-01	4.00E-01	8.70E-01
YLR323C	weak similarity to N.crassa uvs2 protein	2.60E-01	5.40E-01	3.50E-01
YLR324W	strong similarity to YGR004w	2.60E-01	5.40E-01	3.50E-01
YLR325C	60S large subunit ribosomal protein	7.20E-01	1.60E-01	3.40E-01
YLR326W	hypothetical protein	7.20E-01	1.60E-01	3.40E-01
YLR327C	strong similarity to STF2P	7.00E-01	6.70E-01	9.00E-01
YLR328W	strong similarity to YGR010w	1.80E-01	2.00E-01	2.90E-01
YLR329W	meiotic recombination protein	4.80E-01	3.90E-01	6.30E-01
YLR330W	chitin synthesis protein	3.90E-02	2.60E-01	7.30E-02
YLR331C	questionable ORF	3.40E-01	7.30E-01	1.20E-01
YLR332W	mating process protein	7.80E-01	1.30E-07	8.80E-01
YLR333C	ribosomal protein S25.e.c12	9.10E-01	5.50E-01	3.00E-01
YLR334C	questionable ORF	9.20E-01	4.90E-01	8.10E-01
YLR335W	nuclear pore protein	7.60E-01	5.20E-01	5.10E-01
YLR336C	involved in HOG pathway	2.20E-01	5.30E-01	4.60E-01
YLR337C	verprolin	8.60E-01	5.70E-01	5.20E-01
YLR338W	questionable ORF	2.20E-01	5.30E-01	4.60E-01
YLR339C	questionable ORF	6.20E-01	2.50E-01	6.80E-01
YLR340W	acidic ribosomal protein L10.e	8.60E-01	5.70E-01	5.20E-01
YLR341W	"probably ATP-powered Ca2+ pump, possible role in sporulation"	6.20E-01	2.50E-01	6.80E-01
YLR342W	"1,3-beta-D-glucan synthase, catalytic subunit"	4.70E-01	6.00E-04	7.30E-01
YLR343W	strong similarity to GAS1P and C.albicans pH responsive protein	8.90E-01	3.80E-01	5.00E-01
YLR344W	60S large subunit ribosomal protein	8.40E-01	7.70E-01	4.00E-01
YLR345W	similarity to PFK26P and other 6-phosphofructo-2-kinases	5.80E-01	4.90E-01	1.50E-01
YLR346C	weak similarity to YGR035c	8.60E-02	3.10E-01	3.90E-05
YLR347C	karyopherin-beta	9.00E-01	7.90E-01	7.60E-01
YLR348C	dicarboxylate carrier protein	3.30E-01	1.90E-01	5.50E-01
YLR349W	questionable ORF	9.00E-01	7.90E-01	7.60E-01
YLR350W	strong similarity to YGR038w	3.30E-01	1.90E-01	5.50E-01
YLR351C	nitrilase	7.20E-01	8.20E-01	7.50E-01
YLR352W	hypothetical protein	7.20E-01	8.20E-01	7.50E-01
YLR353W	budding protein	6.90E-01	5.60E-01	5.40E-01
YLR354C	transaldolase	4.40E-01	3.90E-01	4.70E-01
YLR355C	ketol-acid reducto-isomerase	6.90E-01	4.30E-01	7.70E-01
YLR356W	similarity to SCM4 protein	6.90E-01	4.30E-01	7.70E-01
YLR357W	"member of RSC complex, which remodels the structure of chromatin"	5.50E-01	6.40E-01	4.30E-01
YLR358C	questionable ORF	4.70E-01	1.60E-01	7.60E-01
YLR359W	adenylosuccinate lyase	4.70E-01	1.60E-01	7.60E-01
YLR360W	protein involved in vacuolar sorting	6.30E-01	5.80E-01	1.00E+00
YLR361C	similarity to YOR3329c	3.80E-01	4.20E-01	7.30E-01
YLR362W	ser/thr protein kinase of the MEKK family	3.80E-01	4.20E-01	7.30E-01
YLR363C	NAM7P interacting protein	4.90E-01	8.70E-01	5.10E-01
YLR364W	weak similarity to GRX2 Homo sapiens glutaredoxin 2	4.90E-01	8.70E-01	5.10E-01
YLR365W	weak similarity to Udf2p	6.50E-01	5.90E-01	8.30E-01
YLR366W	hypothetical protein	6.50E-01	5.90E-01	8.30E-01
YLR367W	ribosomal protein S15a.e.c12	2.50E-01	1.30E-01	6.20E-02
YLR368W	weak similarity to Mus musculus F-box protein FBA	5.80E-01	7.40E-01	3.70E-01
YLR369W	mitochondrial heat shock protein 70	1.90E-02	2.40E-01	4.10E-02
YLR370C	subunit of the ARP2/3 complex	2.10E-02	9.70E-02	6.00E-02
YLR371W	GDP/GTP exchange factor for RHO1P	2.10E-02	9.70E-02	6.00E-02
YLR372W	"sterol isomerase, fatty acid elongase"	4.90E-01	1.50E-01	5.80E-01
YLR373C	similarity to hypothetical protein Ygr071cp	7.60E-01	5.60E-01	1.00E+00
YLR374C	questionable ORF	6.20E-01	4.50E-01	5.70E-01
YLR375W	involved in pre-tRNA splicing and in uptake of branched-chain amino acids	7.60E-01	5.60E-01	1.00E+00
YLR376C	hypothetical protein	8.60E-01	8.30E-01	8.80E-01
YLR377C	"fructose-1,6-bisphosphatase"	1.80E-01	4.70E-01	9.70E-01
YLR378C	ER protein-translocation complex subunit	1.60E-01	1.20E-01	9.00E-02
YLR379W	questionable ORF	2.80E-01	1.90E-01	4.70E-01
YLR380W	weak similarity to SEC14 protein	1.60E-01	1.20E-01	9.00E-02
YLR381W	hypothetical protein	9.00E-01	3.50E-01	7.90E-01
YLR382C	"leucine--tRNA ligase precursor, mitochondrial"	2.50E-01	7.50E-01	4.30E-01
YLR383W	recombination repair protein	2.50E-01	7.50E-01	4.30E-01
YLR384C	confers sensitivity to killer toxin	4.70E-01	9.00E-01	7.40E-01
YLR385C	hypothetical protein	2.00E-01	5.80E-01	1.40E-01
YLR386W	similarity to hypothetical S. pombe protein	2.00E-01	5.80E-01	1.40E-01
YLR387C	similarity to YBR267w	6.90E-01	5.00E-01	4.90E-01
YLR388W	ribosomal protein S29.e.A	6.90E-01	5.00E-01	4.90E-01
YLR389C	protease involved in a-factor processing	7.20E-01	8.20E-01	2.40E-01
YLR390W	involved in cell wall biogenesis and architecture	7.20E-01	8.20E-01	2.40E-01
YLR390W-A	Secretory Stress Response protein 1	3.00E-01	4.70E-01	8.80E-02
YLR392C	hypothetical protein	4.60E-01	5.60E-01	3.20E-01
YLR393W	F1F0 ATPase complex assembly protein	4.60E-01	5.60E-01	3.20E-01
YLR394W	"protein required for synapsis, meiotic recombination, sporulation, proper chromosome segregation and synaptonemal complex formation"	4.60E-01	5.60E-01	3.20E-01
YLR395C	cytochrome-c oxidase chain VIII	5.00E-01	5.20E-01	1.40E-01
YLR396C	vacuolar sorting protein	9.90E-01	7.40E-01	4.50E-01
YLR397C	strong similarity to CDC48	3.30E-08	2.60E-02	1.20E-02
YLR398C	antiviral protein and putative helicase	9.90E-01	7.10E-01	8.80E-01
YLR399C	sporulation protein	3.40E-02	3.80E-02	1.10E-01
YLR400W	hypothetical protein	3.40E-02	3.80E-02	1.10E-01
YLR401C	similarity to A.brasilense nifR3 protein	4.10E-01	3.90E-01	1.90E-01
YLR402W	hypothetical protein	4.10E-01	3.90E-01	1.90E-01
YLR403W	zinc finger protein	8.40E-01	4.20E-01	3.20E-01
YLR404W	hypothetical protein	9.20E-01	6.20E-01	8.20E-01
YLR405W	similarity to A.brasilense nifR3 protein	5.70E-01	1.00E+00	1.00E+00
YLR406C	60S large subunit ribosomal protein L31.e.c12	6.50E-01	6.90E-01	2.00E-02
YLR407W	hypothetical protein	6.50E-01	6.90E-01	2.00E-02
YLR408C	weak similarity to probable topoisomerase VIA A. thaliana	1.80E-01	6.30E-01	3.30E-01
YLR409C	strong similarity to S. pombe beta-transducin	6.70E-01	6.30E-01	3.70E-02
YLR410W	strong similarity to S. pombe protein ASP1P	6.70E-01	6.30E-01	3.70E-02
YLR410W-A		7.00E-01	1.00E+00	6.40E-01
YLR410W-B		7.00E-01	1.00E+00	6.40E-01
YLR411W	copper transport protein	6.00E-01	7.90E-01	1.00E+00
YLR412W	weak similarity to Candida maltosa cytochrome P450	1.70E-01	5.60E-01	4.60E-01
YLR413W	strong similarity to YKL187c	7.80E-01	1.90E-02	5.40E-01
YLR414C	weak similarity to YLR413w	8.20E-01	1.60E-01	4.70E-01
YLR415C	questionable ORF	5.90E-01	3.60E-01	5.30E-01
YLR416C	hypothetical protein	5.90E-01	3.60E-01	5.30E-01
YLR417W	defective in vacuolar protein sorting	5.90E-01	3.60E-01	5.30E-01
YLR418C	DNA-directed RNA polymerase II accessory protein	2.90E-01	3.30E-01	2.50E-01
YLR419W	similarity to helicases	2.90E-01	3.30E-01	2.50E-01
YLR420W	dihydroorotase	4.60E-01	8.10E-01	4.80E-01
YLR421C	weak similarity to human 42K membrane glycoprotein	5.50E-01	9.50E-01	7.20E-01
YLR422W	similarity to human DOCK180 protein	5.50E-01	9.50E-01	7.20E-01
YLR423C	protein involved in authophagy	5.50E-01	7.30E-01	7.20E-01
YLR424W	weak similarity to STU1P	5.50E-01	7.30E-01	7.20E-01
YLR425W	similarity to GDP-GTP exchange factors	5.00E-01	7.50E-01	5.00E-01
YLR426W	weak similarity to 3-oxoacyl-[acyl-carrier-protein] reductase from E. coli	9.60E-01	8.00E-01	9.20E-01
YLR427W	weak similarity to human transcription regulator Staf-5	6.60E-01	4.20E-01	4.10E-01
YLR428C	questionable ORF	2.60E-01	5.60E-01	1.60E-01
YLR429W	"a coronin, that promotes actin polymerization and crosslinking to microtubules"	9.50E-01	7.90E-01	5.90E-01
YLR430W	positive effector of tRNA-splicing endonuclease	2.60E-01	5.60E-01	1.60E-01
YLR431C	weak similarity to rabbit trichohyalin	9.30E-01	7.30E-01	7.00E-01
YLR432W	"strong similarity to IMP dehydrogenases, Pur5p and YML056c"	9.30E-01	7.30E-01	7.00E-01
YLR433C	"calcineurin B, catalytic subunit"	8.00E-01	1.30E-01	5.50E-01
YLR434C	questionable ORF	8.00E-01	1.30E-01	5.50E-01
YLR435W	similarity to hypothetical protein B23L21.160 - N. crassa	8.10E-01	5.60E-01	1.00E+00
YLR436C	involved in cell wall biogenesis and architecture	9.70E-01	4.90E-01	4.30E-01
YLR437C	hypothetical protein	4.40E-01	3.70E-03	3.70E-01
YLR438C-A	Sm-like (Lsm) protein	1.70E-09	2.70E-05	4.20E-12
YLR438W	ornithine aminotransferase	4.40E-01	3.70E-03	3.70E-01
YLR439W	"ribosomal protein, mitochondrial"	1.70E-09	2.70E-05	4.20E-12
YLR440C	hypothetical protein	1.80E-02	2.30E-01	1.50E-01
YLR441C	ribosomal protein S3a.e	8.60E-01	3.20E-01	4.60E-01
YLR442C	silencing regulatory and DNA-repair protein	8.20E-01	5.10E-01	1.70E-01
YLR443W	involved in cell wall biogenesis and architecture	8.20E-01	5.10E-01	1.70E-01
YLR444C	questionable ORF	5.80E-01	4.90E-01	1.00E+00
YLR445W	hypothetical protein	5.80E-01	4.90E-01	1.00E+00
YLR446W	weak similarity to hexokinases	6.30E-01	5.80E-01	4.00E-01
YLR447C	"H+-ATPase V0 domain 36 KD subunit, vacuolar"	8.80E-01	8.90E-01	7.10E-01
YLR448W	60S large subunit ribosomal protein	8.80E-01	8.90E-01	7.10E-01
YLR449W	nucleolar peptidylprolyl cis-trans isomerase (PPIase)	7.40E-01	7.00E-01	6.10E-01
YLR450W	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2	3.50E-01	7.00E-01	5.70E-01
YLR451W	transcription factor	7.60E-01	1.00E+00	7.20E-01
YLR452C	involved in desensitization to alpha-factor pheromone	2.60E-02	8.90E-01	1.30E-01
YLR453C	RAP1P interacting factor 2	4.10E-01	1.40E-01	4.30E-01
YLR454W	similarity to YPR117w	4.10E-01	1.40E-01	4.30E-01
YLR455W	weak similarity to human G/T mismatch binding protein	4.10E-01	8.50E-01	7.70E-01
YLR456W	strong similarity to YPR172w	7.60E-01	2.50E-01	5.60E-01
YLR457C	NAP1P-binding protein	6.90E-01	8.20E-01	6.30E-01
YLR458W	questionable ORF	1.00E+00	1.00E+00	1.00E+00
YLR459W	cell division control protein	6.90E-01	8.20E-01	6.30E-01
YLR460C	"similarity to,C.carbonum toxD protein"	1.30E-01	5.50E-01	7.60E-01
YLR461W	strong similarity to members of the TIR1P/TIP1P family	7.00E-01	6.30E-01	8.00E-01
YLR462W	strong similarity to subtelomeric encoded proteins	7.50E-01	4.40E-01	4.30E-02
YLR463C	strong similarity to subtelomeric encoded proteins	9.70E-01	9.00E-01	2.60E-01
YLR464W	strong similarity to subtelomeric encoded proteins	7.50E-01	4.40E-01	4.30E-02
YLR465C	questionable ORF	9.70E-01	9.00E-01	2.60E-01
YLR466W	protein with similarity to other subtelomerically-coded Y'-helicase proteins	7.50E-01	4.40E-01	4.30E-02
YLR467W	strong similarity to subtelomeric encoded proteins	9.70E-01	9.00E-01	2.60E-01
YML001W	GTP-binding protein of the RAB family	3.50E-01	8.00E-01	5.00E-01
YML002W	hypothetical protein	3.70E-01	4.70E-01	4.90E-01
YML003W	hypothetical protein	1.00E-02	6.30E-01	4.20E-01
YML004C	glyoxalase I	1.00E-02	6.30E-01	4.20E-01
YML005W	similarity to hypothetical S.pombe protein	9.40E-01	9.90E-01	1.00E+00
YML006C	hypothetical protein	1.80E-01	1.30E-01	3.80E-01
YML007W	transcriptional activator involved in oxidative stress response	5.30E-04	2.40E-02	9.70E-01
YML008C	S-adenosyl-methionine delta-24-sterol-c-methyltransferase	5.30E-04	2.40E-02	9.70E-01
YML009C	"60S ribosomal protein, mitochondrial"	7.50E-01	6.40E-01	3.80E-01
YML010C-B		9.10E-01	7.20E-01	4.30E-01
YML010W	transcription elongation protein	7.30E-01	5.40E-01	1.00E+00
YML010W-A		7.30E-01	5.40E-01	1.00E+00
YML011C	hypothetical protein	7.30E-01	5.40E-01	1.00E+00
YML012W	"component of the COPII-coated vesicles, 25 Kda"	1.00E+00	8.10E-01	1.00E+00
YML013C-A		1.00E+00	8.10E-01	1.00E+00
YML013W	hypothetical protein	6.80E-01	6.50E-01	6.10E-01
YML014W	"strong similarity to S.pombe hypothetical protein, similarity to C.elegans hypothetical protein"	1.00E+00	1.00E+00	1.00E+00
YML015C	"TFIID subunit (TBP-associated factor), 40KD"	1.00E+00	1.00E+00	1.00E+00
YML016C	ser/thr phosphatase required for normal osmoregulation	8.20E-01	7.20E-01	6.70E-01
YML017W	suppressor of DNA polymerase alpha mutation	9.00E-01	4.80E-01	8.40E-01
YML018C	similarity to YDR438w	9.00E-01	4.80E-01	8.40E-01
YML019W	N-oligosaccharyltransferase complex subunit	3.20E-01	3.60E-01	7.00E-01
YML020W	hypothetical protein	5.40E-01	7.60E-01	4.90E-01
YML021C	uracil-DNA glycosylase	5.40E-01	7.60E-01	4.90E-01
YML022W	adenine phosphoribosyltransferase	5.10E-01	8.30E-01	2.10E-01
YML023C	weak similarity to NMD2P	5.10E-01	8.30E-01	2.10E-01
YML024W	ribosomal protein S17.e.A	4.30E-01	4.20E-01	4.10E-01
YML025C	"ribosomal protein, mitochondrial"	4.30E-01	4.20E-01	4.10E-01
YML026C	ribosomal protein S18.e.c13	7.20E-01	9.80E-03	4.10E-01
YML027W	homoeodomain protein	3.30E-01	1.80E-07	5.00E-01
YML028W	thiol-specific antioxidant	3.30E-02	8.60E-02	6.50E-01
YML029W	hypothetical protein	9.00E-01	6.90E-01	7.70E-01
YML030W	weak similarity to CG9921 D. melanogaster	5.70E-01	7.00E-01	1.00E+00
YML031W	nuclear envelope protein	7.70E-01	3.00E-01	5.40E-01
YML032C	recombination and DNA repair protein	5.70E-01	7.00E-01	1.00E+00
YML034W	similarity to YDR458c	1.00E+00	1.00E+00	6.20E-01
YML035C	AMP deaminase	7.60E-01	1.50E-01	8.30E-01
YML035C-A		1.00E+00	1.00E+00	6.20E-01
YML036W	weak similarity to C.elegans hypothetical protein CELW03F8	5.90E-01	4.00E-01	4.60E-01
YML037C	hypothetical protein	5.90E-01	4.00E-01	4.60E-01
YML038C	"similarity to vanadate resistance protein GOG5P, member of the triose phosphate translocater family of membrane transporters"	8.30E-01	4.30E-01	7.70E-01
YML039W		9.00E-01	6.30E-01	7.70E-01
YML040W		9.00E-01	6.30E-01	7.70E-01
YML041C	weak similarity to probable cyclin G1 interacting protein S.pombe	8.20E-01	5.70E-01	6.70E-01
YML042W	carnitine O-acetyltransferase	6.90E-01	3.70E-01	6.40E-01
YML043C	RNA polymerase I specific transcription initiation factor	6.90E-01	3.70E-01	6.40E-01
YML045W		9.20E-01	5.50E-01	5.80E-01
YML045W-A		9.20E-01	5.50E-01	5.80E-01
YML046W	pre-mRNA splicing factor	5.60E-02	4.20E-01	6.70E-01
YML047C	strong similarity to YJR054w	5.60E-02	4.20E-01	6.70E-01
YML048W	involved in glucose repression	5.20E-01	4.40E-01	5.90E-01
YML048W-A		7.50E-01	6.20E-01	1.00E+00
YML049C	involved in RNA splicing and ER to Golgi transport	5.20E-01	4.40E-01	5.90E-01
YML050W	weak similarity to potato sucrose cleavage protein	9.30E-02	6.10E-02	6.60E-01
YML051W	negative regulator for expression of galactose-induced genes	7.50E-01	7.60E-01	1.00E+00
YML052W	similarity to YDL222c and YNL194c	6.60E-02	7.40E-03	8.20E-01
YML053C	hypothetical protein	6.60E-02	7.40E-03	8.20E-01
YML054C	lactate dehydrogenase cytochrome b2	5.50E-01	8.60E-01	9.50E-01
YML055W	signal peptidase 18 KD subunit	5.50E-01	6.80E-01	4.50E-01
YML056C	strong similarity to IMP dehydrogenases	5.50E-01	6.80E-01	4.50E-01
YML057W	"calcineurin B, catalytic subunit"	8.70E-01	3.20E-01	3.20E-01
YML058C-A		4.50E-01	4.20E-01	4.10E-01
YML058W	protein inhibitor of ribonucleotide reductase	5.00E-01	9.70E-02	6.30E-01
YML058W-A	hydroxyurea and UV and gamma radiation induced	7.70E-01	7.40E-01	4.80E-01
YML059C	similarity to C.elegans ZK370.4 protein	5.00E-01	9.70E-02	6.30E-01
YML060W	8-oxoguanine DNA glycosylase	3.00E-01	5.40E-01	3.10E-01
YML061C	DNA helicase involved in mitochondrial DNA repair and telomere length	3.00E-01	5.40E-01	3.10E-01
YML062C	mitochondrial fusion target protein	7.10E-01	5.90E-01	2.70E-01
YML063W	ribosomal protein S3a.e	9.60E-01	6.60E-01	1.30E-01
YML064C	GTP-binding protein of the RAS superfamily	9.60E-01	6.60E-01	1.30E-01
YML065W	"origin recognition complex, 104 KD subunit"	7.20E-01	8.90E-01	9.00E-01
YML066C	hypothetical protein	7.20E-01	8.90E-01	9.00E-01
YML067C	component of copii vesicles involved in transport between the ER and golgi complex	2.80E-01	4.90E-01	5.30E-01
YML068W	similarity to C.elegans hypothetical protein	3.40E-01	5.00E-01	3.30E-01
YML069W	protein that binds to DNA polymerase I (PolI)	8.40E-01	3.00E-01	8.10E-01
YML070W	"dihydroxyacetone kinase, induced in high salt"	3.40E-01	7.70E-01	1.60E-01
YML071C	weak similarity to unnamed ORF Mus musculus brain cDNA	4.20E-01	5.00E-01	2.40E-01
YML072C	similarity to YOR3141c and YNL087w	4.20E-01	5.70E-01	2.80E-01
YML073C	60S large subunit ribosomal protein	5.40E-01	5.70E-01	7.50E-02
YML074C	proline cis-trans isomerase	3.80E-01	8.70E-01	4.80E-01
YML075C	3-hydroxy-3-methylglutaryl-coenzyme A reductase 1	5.90E-01	3.40E-01	7.60E-01
YML076C	weak similarity to transcription factor	2.70E-01	6.50E-01	3.00E-01
YML077W	involved in targeting and fusion of ER to golgi transport vesicles	7.40E-02	6.10E-01	2.90E-01
YML078W	"cyclophilin (peptidylprolyl isomerase), mitochondrial"	4.70E-01	6.30E-01	6.50E-01
YML079W	weak similarity to Synechocystis sp. hypothetical protein sll1188	1.50E-01	6.90E-01	3.80E-01
YML080W	similarity to A.brasilense nifR3 protein	4.30E-01	6.60E-01	6.00E-01
YML081C-A	gene for subunit i/j of the mitochondrial F1F0-ATP synthase	2.10E-01	9.00E-01	6.40E-01
YML081W	strong similarity to ZMS1 protein	2.10E-01	9.00E-01	6.40E-01
YML082W	similarity to N.crassa O-succinylhomoserine (thiol)-lyase	2.50E-02	4.90E-01	7.60E-01
YML083C	hypothetical protein	2.50E-02	4.90E-01	7.60E-01
YML084W	hypothetical protein	7.30E-01	5.50E-01	4.10E-01
YML085C	alpha-1 tubulin	7.30E-01	5.50E-01	4.10E-01
YML086C	"D-arabinono-1,4-lactone oxidase"	8.50E-02	5.50E-01	3.50E-01
YML087C	"strong similarity to YML125c, similarity to cytochrome-b5- and nitrate reductases"	2.70E-01	5.00E-01	3.90E-01
YML088W	involved in degradation of HO protein	6.00E-01	2.20E-01	8.80E-01
